//0																					
//Oxygen, 1.07
//Nitrate, 1, 1, 0, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   851.43	0	  4.3238	0	34.4418	0	27.256	0	37.13	0	11.52	0	39.42	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   801.61	0	  4.5746	0	34.3762	0	27.173	0	30.71	0	9.58	0	39.62	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   751.06	0	  4.6326	0	34.3121	0	27.114	0	24.61	0	7.69	0	39.63	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   701.66	0	  4.7597	0	34.2389	0	27.039	0	24.50	0	7.67	0	39.58	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   651.33	0	  5.1599	0	34.1746	0	26.938	0	33.49	0	10.58	0	38.00	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   601.05	0	  5.3915	0	34.1144	0	26.859	0	46.22	0	14.68	0	36.68	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   551.31	0	  6.0765	0	34.0756	0	26.739	0	67.84	0	21.90	0	34.08	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   500.58	0	  6.9727	0	34.0418	0	26.59	0	101.01	0	33.28	0	29.64	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   451.15	0	  8.1902	0	34.0623	0	26.429	0	137.07	0	46.44	0	24.43	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   401.46	0	  9.2433	0	34.0942	0	26.29	0	158.36	0	54.95	0	20.46	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   381.22	0	  9.8968	0	34.1061	0	26.192	0	187.57	0	66.04	0	16.99	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   361.49	0	 10.4340	0	34.1266	0	26.118	0	196.13	0	69.87	0	15.52	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   351.24	0	 10.5937	0	34.1382	0	26.099	0	198.16	0	70.85	0	15.00	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   341.01	0	 11.0317	0	34.1590	0	26.039	0	199.66	0	72.07	0	14.05	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   330.93	0	 11.4183	0	34.1819	0	25.989	0	201.59	0	73.38	0	13.24	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   320.98	0	 11.6721	0	34.1952	0	25.953	0	202.98	0	74.29	0	12.52	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   310.95	0	 11.7935	0	34.1973	0	25.932	0	203.73	0	74.76	0	12.42	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   300.89	0	 12.2310	0	34.2093	0	25.86	0	200.20	0	74.15	0	11.66	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   290.86	0	 13.0646	0	34.2633	0	25.744	0	198.70	0	74.91	0	9.94	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   281.14	0	 13.4886	0	34.3006	0	25.69	0	198.81	0	75.63	0	9.16	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   271.49	0	 14.1940	0	34.3669	0	25.601	0	198.38	0	76.59	0	7.89	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   260.77	0	 14.6959	0	34.4238	0	25.543	0	199.66	0	77.90	0	7.14	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   251.23	0	 15.2015	0	34.4896	0	25.49	0	200.95	0	79.23	0	6.35	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   241.60	0	 15.9098	0	34.5827	0	25.412	0	202.44	0	81.00	0	5.49	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   231.00	0	 16.1039	0	34.6186	0	25.398	0	204.48	0	82.14	0	5.58	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   221.33	0	 16.3232	0	34.6507	0	25.376	0	204.48	0	82.51	0	5.38	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   211.10	0	 16.8269	0	34.7196	0	25.318	0	204.16	0	83.23	0	4.77	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   201.57	0	 17.5479	0	34.8105	0	25.224	0	202.23	0	83.64	0	4.25	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   191.16	0	 18.2840	0	34.9024	0	25.123	0	198.49	0	83.30	0	3.74	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   180.89	0	 18.8936	0	34.9869	0	25.043	0	197.52	0	83.89	0	3.56	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   171.44	0	 19.3303	0	35.0388	0	24.976	0	196.13	0	84.01	0	3.40	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   161.42	0	 19.6532	0	35.0825	0	24.929	0	197.31	0	85.04	0	3.17	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   151.61	0	 20.3861	0	35.1550	0	24.798	0	195.60	0	85.48	0	2.57	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   141.72	0	 21.0071	0	35.2267	0	24.692	0	200.09	0	88.48	0	2.14	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   131.49	0	 21.1987	0	35.2441	0	24.654	0	202.34	0	89.79	0	2.02	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   121.55	0	 21.8253	0	35.3203	0	24.546	0	203.41	0	91.33	0	1.55	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   111.18	0	 22.3719	0	35.3495	0	24.416	0	208.97	0	94.76	0	1.31	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		   101.54	0	 22.6949	0	35.3110	0	24.29	0	208.54	0	95.09	0	1.36	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    96.72	0	 22.8698	0	35.2621	0	24.198	0	209.29	0	95.69	0	1.49	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    91.56	0	 23.2412	0	35.2788	0	24.103	0	210.47	0	96.87	0	1.26	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    86.91	0	 23.5397	0	35.2831	0	24.019	0	212.29	0	98.22	0	1.30	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    81.62	0	 24.2381	0	35.2467	0	23.778	0	213.25	0	99.84	0	1.27	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    75.93	0	 24.6432	0	35.2885	0	23.69	0	214.32	0	101.07	0	1.17	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    71.50	0	 24.7974	0	35.2923	0	23.645	0	215.28	0	101.79	0	1.64	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    66.84	0	 25.0638	0	35.2977	0	23.567	0	213.25	0	101.30	0	1.61	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    61.76	0	 25.6040	0	35.1742	0	23.291	0	209.61	0	100.41	0	1.92	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    55.84	0	 25.6248	0	35.1724	0	23.283	0	209.40	0	100.34	0	1.96	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    51.18	0	 25.6201	0	35.1729	0	23.285	0	209.51	0	100.39	0	1.97	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    46.13	0	 25.6210	0	35.1721	0	23.284	0	209.51	0	100.39	0	1.86	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    41.63	0	 25.6207	0	35.1726	0	23.284	0	209.51	0	100.39	0	2.01	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    36.68	0	 25.6193	0	35.1723	0	23.285	0	209.51	0	100.39	0	1.95	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    31.24	0	 25.6180	0	35.1724	0	23.285	0	209.51	0	100.38	0	1.93	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    25.51	0	 25.6159	0	35.1724	0	23.286	0	209.51	0	100.38	0	1.90	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    20.53	0	 25.6165	0	35.1727	0	23.286	0	209.51	0	100.38	0	2.01	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    16.66	0	 25.6179	0	35.1729	0	23.286	0	209.51	0	100.38	0	1.96	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		    10.67	0	 25.6153	0	35.1734	0	23.287	0	209.51	0	100.38	0	1.96	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687		     7.53	0	 25.6148	0	35.1732	0	23.287	0	209.51	0	100.38	0	1.95	0
7622Hawaii	 1	C	11/03/2011	05:21	202.934	 22.687																	
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   999.42	0	  3.8791	0	34.4747	0	27.333	0	39.16	0	12.02	0	39.56	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   951.03	0	  3.9613	0	34.4527	0	27.306	0	34.99	0	10.76	0	39.70	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   901.03	0	  4.1949	0	34.4261	0	27.258	0	32.42	0	10.03	0	39.62	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   850.59	0	  4.3871	0	34.3837	0	27.201	0	28.46	0	8.84	0	39.69	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   801.21	0	  4.4814	0	34.3265	0	27.143	0	22.47	0	6.99	0	40.00	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   751.08	0	  4.6665	0	34.2674	0	27.073	0	22.68	0	7.09	0	39.40	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   700.88	0	  4.8676	0	34.2010	0	26.995	0	25.79	0	8.09	0	38.87	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   651.65	0	  5.1263	0	34.1511	0	26.922	0	35.74	0	11.28	0	37.76	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   601.66	0	  5.6487	0	34.0933	0	26.81	0	51.90	0	16.58	0	35.59	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   551.57	0	  6.1426	0	34.0466	0	26.707	0	76.61	0	24.76	0	32.88	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   500.82	0	  7.1637	0	34.0429	0	26.564	0	104.75	0	34.67	0	28.64	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   451.21	0	  8.1324	0	34.0480	0	26.426	0	134.07	0	45.37	0	24.29	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   398.63	0	  9.6536	0	34.1006	0	26.228	0	178.90	0	62.65	0	18.26	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   381.19	0	 10.0960	0	34.1158	0	26.167	0	184.58	0	65.27	0	16.59	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   361.05	0	 10.6967	0	34.1447	0	26.087	0	195.70	0	70.13	0	14.86	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   351.00	0	 11.0810	0	34.1720	0	26.041	0	194.31	0	70.22	0	14.22	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   341.49	0	 11.3118	0	34.1778	0	26.005	0	197.42	0	71.70	0	13.46	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   331.27	0	 11.6637	0	34.1954	0	25.955	0	199.66	0	73.06	0	12.50	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   321.09	0	 11.9531	0	34.2127	0	25.916	0	202.34	0	74.51	0	11.81	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   311.15	0	 12.0804	0	34.2170	0	25.895	0	203.09	0	74.99	0	11.64	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   301.41	0	 12.4151	0	34.2335	0	25.845	0	202.12	0	75.16	0	10.90	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   291.61	0	 12.6252	0	34.2456	0	25.815	0	202.12	0	75.50	0	10.46	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   281.58	0	 13.0368	0	34.2730	0	25.757	0	202.34	0	76.24	0	9.46	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   271.66	0	 13.3844	0	34.2997	0	25.71	0	201.27	0	76.40	0	8.91	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   261.30	0	 13.6927	0	34.3271	0	25.671	0	202.34	0	77.31	0	8.48	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   251.64	0	 14.0165	0	34.3555	0	25.628	0	201.48	0	77.50	0	7.96	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   239.56	0	 15.2227	0	34.4930	0	25.488	0	200.73	0	79.18	0	6.18	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   231.16	0	 15.8039	0	34.5686	0	25.423	0	201.48	0	80.44	0	5.38	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   221.44	0	 15.8908	0	34.5836	0	25.417	0	202.55	0	81.01	0	5.46	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   210.90	0	 16.3243	0	34.6358	0	25.363	0	200.95	0	81.08	0	4.89	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   200.95	0	 17.0203	0	34.7379	0	25.288	0	200.95	0	82.24	0	4.46	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   191.62	0	 17.4537	0	34.7932	0	25.232	0	201.16	0	83.04	0	4.10	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   181.77	0	 18.0766	0	34.8798	0	25.155	0	200.09	0	83.63	0	3.63	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   171.47	0	 19.1010	0	35.0107	0	25.01	0	196.02	0	83.59	0	2.99	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   161.67	0	 20.0698	0	35.1259	0	24.857	0	194.31	0	84.42	0	2.73	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   151.28	0	 20.3011	0	35.1333	0	24.802	0	196.24	0	85.62	0	2.74	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   138.96	0	 20.9715	0	35.1868	0	24.668	0	198.59	0	87.74	0	2.33	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   131.16	0	 21.4222	0	35.2259	0	24.577	0	202.66	0	90.29	0	1.64	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   121.59	0	 21.7719	0	35.2514	0	24.502	0	209.51	0	93.94	0	1.30	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   111.10	0	 22.4796	0	35.2790	0	24.325	0	216.14	0	98.16	0	0.93	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		   101.38	0	 23.4379	0	35.3072	0	24.07	0	217.10	0	100.28	0	1.00	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    96.57	0	 23.7558	0	35.3108	0	23.978	0	216.78	0	100.69	0	1.09	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    91.79	0	 24.3012	0	35.2348	0	23.748	0	214.86	0	100.70	0	1.00	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    86.77	0	 24.4353	0	35.1986	0	23.676	0	211.86	0	99.50	0	1.43	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    81.68	0	 24.9010	0	35.1665	0	23.505	0	208.65	0	98.76	0	1.39	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    76.75	0	 25.4633	0	35.1346	0	23.302	0	206.62	0	98.72	0	1.68	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    71.40	0	 25.4949	0	35.1345	0	23.291	0	208.44	0	99.64	0	1.68	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    66.64	0	 25.4954	0	35.1340	0	23.291	0	208.44	0	99.64	0	1.77	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    61.66	0	 25.4918	0	35.1341	0	23.292	0	208.44	0	99.64	0	1.75	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    56.41	0	 25.4910	0	35.1344	0	23.293	0	208.44	0	99.64	0	1.83	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    51.51	0	 25.4903	0	35.1352	0	23.294	0	208.44	0	99.64	0	1.72	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    46.77	0	 25.4865	0	35.1332	0	23.293	0	208.44	0	99.63	0	1.74	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    41.85	0	 25.4858	0	35.1328	0	23.293	0	208.44	0	99.63	0	1.77	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    36.90	0	 25.4830	0	35.1340	0	23.295	0	208.44	0	99.62	0	1.73	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    31.65	0	 25.4794	0	35.1338	0	23.296	0	208.54	0	99.67	0	1.69	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    26.69	0	 25.4766	0	35.1339	0	23.297	0	208.54	0	99.66	0	1.78	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    21.03	0	 25.4746	0	35.1342	0	23.298	0	208.54	0	99.66	0	1.79	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    16.11	0	 25.4709	0	35.1347	0	23.299	0	208.54	0	99.65	0	1.67	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		    11.48	0	 25.4818	0	35.1321	0	23.294	0	208.54	0	99.67	0	1.79	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799		     7.65	0	 25.4767	0	35.1333	0	23.296	0	208.54	0	99.66	0	1.68	0
7622Hawaii	 2	C	11/08/2011	08:53	202.735	 22.799																	
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   999.56	0	  3.8534	0	34.4802	0	27.34	0	40.34	0	12.38	0	39.31	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   951.65	0	  3.9550	0	34.4561	0	27.309	0	35.52	0	10.93	0	39.56	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   901.44	0	  4.1917	0	34.4353	0	27.266	0	33.49	0	10.36	0	39.32	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   851.18	0	  4.3422	0	34.3901	0	27.211	0	28.03	0	8.70	0	39.57	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   801.36	0	  4.5849	0	34.3375	0	27.14	0	25.15	0	7.85	0	39.41	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   751.05	0	  4.6613	0	34.2597	0	27.067	0	22.68	0	7.09	0	39.38	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   701.45	0	  4.8617	0	34.2098	0	27.003	0	26.32	0	8.26	0	38.75	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   650.72	0	  5.2624	0	34.1529	0	26.907	0	35.52	0	11.25	0	37.29	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   601.26	0	  5.7420	0	34.0999	0	26.803	0	51.68	0	16.55	0	35.24	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   551.77	0	  6.4140	0	34.0520	0	26.675	0	81.21	0	26.42	0	32.00	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   500.69	0	  7.4505	0	34.0705	0	26.545	0	97.16	0	32.37	0	28.33	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   451.40	0	  8.2086	0	34.0411	0	26.408	0	141.56	0	47.98	0	23.63	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   400.98	0	  9.3140	0	34.0768	0	26.264	0	175.59	0	61.02	0	18.88	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   381.44	0	  9.8150	0	34.1048	0	26.205	0	186.72	0	65.62	0	16.99	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   360.76	0	 10.2997	0	34.1298	0	26.143	0	192.39	0	68.34	0	15.54	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   350.61	0	 10.5664	0	34.1370	0	26.103	0	196.77	0	70.31	0	14.81	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   340.63	0	 10.9111	0	34.1538	0	26.057	0	198.91	0	71.61	0	13.91	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   330.76	0	 11.0887	0	34.1719	0	26.04	0	200.84	0	72.59	0	13.56	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   321.14	0	 11.4507	0	34.1878	0	25.988	0	201.27	0	73.32	0	12.65	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   310.91	0	 11.8174	0	34.2077	0	25.937	0	203.51	0	74.72	0	11.93	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   300.99	0	 12.3735	0	34.2343	0	25.854	0	202.44	0	75.22	0	10.76	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   290.96	0	 12.9269	0	34.2649	0	25.772	0	201.48	0	75.74	0	9.78	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   281.77	0	 13.5074	0	34.3093	0	25.694	0	200.30	0	76.23	0	8.69	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   270.97	0	 14.3298	0	34.3953	0	25.597	0	200.73	0	77.73	0	7.24	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   259.61	0	 14.7197	0	34.4392	0	25.551	0	202.87	0	79.20	0	6.60	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   251.08	0	 15.2764	0	34.5018	0	25.484	0	202.02	0	79.78	0	5.89	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   241.74	0	 15.8814	0	34.5850	0	25.42	0	202.66	0	81.04	0	5.27	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   231.41	0	 16.5603	0	34.6768	0	25.343	0	200.95	0	81.47	0	4.74	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   221.20	0	 17.2932	0	34.7633	0	25.245	0	198.91	0	81.85	0	4.25	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   208.03	0	 18.1319	0	34.8884	0	25.149	0	197.84	0	82.78	0	3.37	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   201.58	0	 18.3499	0	34.9207	0	25.122	0	199.77	0	83.95	0	3.26	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   191.29	0	 18.8268	0	34.9756	0	25.05	0	198.06	0	84.01	0	3.20	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   181.65	0	 19.2733	0	35.0361	0	24.988	0	198.27	0	84.83	0	2.92	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   171.72	0	 19.5794	0	35.0717	0	24.939	0	199.66	0	85.93	0	2.66	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   161.02	0	 20.0941	0	35.1368	0	24.86	0	197.63	0	85.90	0	2.40	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   151.04	0	 20.7389	0	35.2106	0	24.751	0	198.38	0	87.29	0	1.94	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   141.60	0	 21.5208	0	35.3113	0	24.623	0	199.98	0	89.30	0	1.35	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   131.22	0	 21.8927	0	35.3487	0	24.551	0	202.87	0	91.21	0	1.36	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   121.64	0	 22.4323	0	35.3335	0	24.385	0	204.69	0	92.91	0	1.20	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   110.91	0	 22.6834	0	35.2955	0	24.28	0	206.72	0	94.23	0	1.27	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		   101.47	0	 23.2374	0	35.2720	0	24.099	0	206.62	0	95.09	0	1.17	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    96.64	0	 23.5583	0	35.2696	0	24.002	0	210.15	0	97.25	0	1.15	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    91.83	0	 23.7637	0	35.2503	0	23.924	0	210.68	0	97.84	0	1.06	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    86.77	0	 25.2212	0	35.1927	0	23.428	0	208.33	0	99.16	0	1.50	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    79.30	0	 25.2269	0	35.1914	0	23.425	0	208.22	0	99.12	0	1.53	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    76.48	0	 25.2260	0	35.1912	0	23.425	0	208.22	0	99.12	0	1.63	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    71.59	0	 25.2289	0	35.1908	0	23.424	0	208.22	0	99.12	0	1.61	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    66.00	0	 25.2278	0	35.1906	0	23.424	0	208.22	0	99.12	0	1.64	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    61.25	0	 25.2251	0	35.1915	0	23.425	0	208.22	0	99.12	0	1.56	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    56.08	0	 25.2238	0	35.1909	0	23.425	0	208.22	0	99.12	0	1.70	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    51.46	0	 25.2246	0	35.1910	0	23.425	0	208.22	0	99.12	0	1.67	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    46.62	0	 25.2227	0	35.1908	0	23.426	0	208.22	0	99.11	0	1.57	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    41.22	0	 25.2204	0	35.1890	0	23.425	0	208.33	0	99.16	0	1.64	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    35.97	0	 25.2192	0	35.1909	0	23.427	0	208.33	0	99.16	0	1.57	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    31.33	0	 25.2194	0	35.1913	0	23.427	0	208.33	0	99.16	0	1.72	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    26.53	0	 25.2186	0	35.1912	0	23.427	0	208.33	0	99.16	0	1.61	0
7622Hawaii	 3	C	11/13/2011	12:49	202.439	 22.922		    21.24	0	 25.2164	0	35.1910	0	23.428	0	208.33	0	99.15	0	1.59	0
